date,open,high,low,close,volume
2017-01-02,3265.66,3265.66,3265.66,3265.66,0.0
2017-01-03,3286.98,3286.98,3286.98,3286.98,0.0
2017-01-04,3291.67,3291.67,3291.67,3291.67,0.0
2017-01-05,3349.35,3349.35,3349.35,3349.35,0.0
2017-01-06,3333.56,3333.56,3333.56,3333.56,0.0
2017-01-09,3339.78,3339.78,3339.78,3339.78,0.0
2017-01-10,3356.96,3356.96,3356.96,3356.96,0.0
2017-01-11,3420.22,3420.22,3420.22,3420.22,0.0
2017-01-12,3413.13,3413.13,3413.13,3413.13,0.0
2017-01-13,3408.01,3408.01,3408.01,3408.01,0.0
2017-01-16,3431.05,3431.05,3431.05,3431.05,0.0
2017-01-17,3442.71,3442.71,3442.71,3442.71,0.0
2017-01-18,3460.61,3460.61,3460.61,3460.61,0.0
2017-01-19,3472.08,3472.08,3472.08,3472.08,0.0
2017-01-20,3414.53,3414.53,3414.53,3414.53,0.0
2017-01-23,3424.63,3424.63,3424.63,3424.63,0.0
2017-01-24,3453.14,3453.14,3453.14,3453.14,0.0
2017-01-25,3509.84,3509.84,3509.84,3509.84,0.0
2017-01-27,3524.75,3524.75,3524.75,3524.75,0.0
2017-01-30,3509.38,3509.38,3509.38,3509.38,0.0
2017-01-31,3444.59,3444.59,3444.59,3444.59,0.0
2017-02-01,3534.31,3534.31,3534.31,3534.31,0.0
2017-02-02,3559.19,3559.19,3559.19,3559.19,0.0
2017-02-03,3599.83,3599.83,3599.83,3599.83,0.0
2017-02-06,3605.25,3605.25,3605.25,3605.25,0.0
2017-02-07,3582.07,3582.07,3582.07,3582.07,0.0
2017-02-08,3608.42,3608.42,3608.42,3608.42,0.0
2017-02-09,3612.06,3612.06,3612.06,3612.06,0.0
2017-02-10,3613.96,3613.96,3613.96,3613.96,0.0
2017-02-13,3594.76,3594.76,3594.76,3594.76,0.0
2017-02-14,3586.85,3586.85,3586.85,3586.85,0.0
2017-02-15,3519.32,3519.32,3519.32,3519.32,0.0
2017-02-16,3577.79,3577.79,3577.79,3577.79,0.0
2017-02-17,3607.87,3607.87,3607.87,3607.87,0.0
2017-02-20,3642.76,3642.76,3642.76,3642.76,0.0
