date,open,high,low,close,volume
2007-11-27,139.45160135737984,187.4446849414132,139.45160135737984,173.68063354492188,27262365
2007-11-28,175.6727850100415,179.11380108812887,158.40432471721985,160.27877807617188,21958915
2007-11-29,163.90091979364337,165.53087645560177,152.54558038036558,160.64100646972656,25616715
2007-11-30,161.1843160674964,173.31841073892033,161.1843160674964,168.24745178222656,23047035
2007-12-03,170.19433791516587,180.07367220659484,166.9797040827582,177.48385620117188,14578850
2007-12-04,178.7063341604987,191.06681196699242,176.7594365538734,189.9801788330078,22742860
2007-12-05,190.16130186747728,199.03549871808448,190.16130186747728,196.31890869140625,13806600
2007-12-06,190.34239412616216,200.59299986783606,190.34239412616216,197.42364501953125,8619680
2007-12-07,199.21656799316406,205.31984418681503,195.2322421602164,199.21656799316406,11182820
2007-12-10,199.5153885157314,201.0276216693133,192.2530354316298,194.4263153076172,5028390
2007-12-11,195.7846170311729,197.2244061918423,188.53131401243587,189.4368438720703,3990645
2007-12-12,186.5391522064541,192.51565484289696,184.00366582077262,187.78878784179688,3637865
2007-12-13,188.35018338133503,208.2718373928224,187.82497448113955,204.8579864501953,15317195
2007-12-14,200.1492570907027,206.44268664169456,199.41578013964093,200.4842987060547,5345960
2007-12-17,206.4607936440442,211.5317660323921,184.99974022608146,189.11990356445312,7024775
2007-12-18,189.11990356445312,189.11990356445312,189.11990356445312,189.11990356445312,0
2007-12-19,197.58663203075633,202.1142817739785,189.49119207910869,193.22198486328125,4228330
2007-12-20,196.22834856261505,196.22834856261505,190.34240355283436,192.00857543945312,3116440
2007-12-24,198.3110379096092,215.87831153998317,196.54525745880338,209.50338745117188,10304460
2007-12-26,212.79954657272063,219.86268322242233,207.90969017839157,217.30908203125,7335155
2007-12-27,220.04376085668846,224.57141025703186,218.05159788399527,219.4370574951172,4887475
2007-12-28,215.40743885858186,230.7290018157539,212.79950854509264,226.21946716308594,5820690
2007-12-31,228.80023769013152,234.532243603061,228.37463753265013,229.78726196289062,3686245
2008-01-01,231.63454458678936,238.87876976319296,228.86362538246811,234.86727905273438,2456740
2008-01-02,237.2940970921177,239.78430429456517,230.0045925169668,236.78700256347656,3519075
2008-01-03,236.34329912763695,238.10002930893052,228.4017981961546,231.0550079345703,2525290
2008-01-04,231.59832480260008,234.49601775108235,223.30368132831143,224.6348114013672,2753975
2008-01-07,224.57140246146122,231.6164235784578,220.04375321828658,222.26229858398438,3154815
2008-01-08,224.57138033588205,227.2879696141387,214.61055298227438,218.1964569091797,2652495
2008-01-09,217.32719154961097,219.13825147919107,208.4529951312104,213.75035095214844,3137535
2008-01-10,214.61060836522594,217.2909832244166,201.02765846869266,203.1194305419922,2194030
2008-01-11,204.28752335676498,204.64972974089568,192.5156362477754,196.65390014648438,3084690
2008-01-14,196.02908607111917,196.02908607111917,186.7383553525122,187.47183227539062,4179580
2008-01-15,189.36441183584125,195.35902928259222,187.63486019538075,190.0797882080078,4152465
2008-01-16,189.43686712937713,192.69678055119886,181.10599416141042,186.6116180419922,4080940
2008-01-17,190.1612732547451,190.7951414021364,183.09813748468244,184.89108276367188,1680015
2008-01-18,182.91703973045975,194.14560495927506,176.56021596603534,180.1280059814453,3384270
2008-01-21,180.20049860852896,182.01155889605187,144.10606652550572,149.42152404785156,788625
2008-01-22,126.77416172864207,146.69581571457155,119.53897423861979,133.2124786376953,2730805
2008-01-23,137.64050897054804,159.7173266072241,137.64050897054804,155.20777893066406,2677310
