date,open,high,low,close,volume
2002-07-01,14.104372772772695,14.705000764693482,13.876549782794774,14.415042877197266,847376
2002-07-02,13.876551689025446,14.746425471009207,13.876551689025446,14.705002784729004,676474
2002-07-03,14.912113409366512,14.912113409366512,14.477176987418348,14.560022354125977,574661
2002-07-04,14.80855918315674,15.015670856853392,14.60144575619312,14.912114143371582,1148300
2002-07-05,14.518599731330726,14.684290465437094,14.083663307568399,14.166508674621582,903273
2002-07-08,14.187220737952684,14.373622834820686,13.980109050255322,14.083664894104004,572054
2002-07-09,14.207930858457683,14.228641322859152,13.855838937498108,13.897261619567871,657548
2002-07-10,14.166507035838189,14.270062856041873,13.814415143225638,13.85583782196045,840243
2002-07-11,14.083664770063612,14.083664770063612,13.46232620590973,13.503748893737793,1105675
2002-07-12,13.752283496162123,13.752283496162123,13.234501675972625,13.296636581420898,1212941
2002-07-15,13.255212458720122,13.400190966939219,13.110233073867624,13.172367095947266,613201
2002-07-16,12.820275566392878,13.255212857398627,12.820275566392878,13.151656150817871,490166
2002-07-17,13.089523240043539,13.234501764952599,12.86169934282444,12.944543838500977,490399
2002-07-18,13.2966367473976,13.358769900354467,13.048100629036107,13.089523315429688,246819
2002-07-19,13.213791374610434,13.23450184117372,13.048100629036107,13.089523315429688,273717
2002-07-22,13.172367002846354,13.213789683940009,12.840986430730494,13.027387619018555,430722
2002-07-23,13.048098943298834,13.048098943298834,12.654584350033069,12.88240909576416,485732
2002-07-24,12.923832247846223,12.923832247846223,12.633874346617288,12.75814151763916,250128
2002-07-25,13.048100070600407,13.255213493704229,12.903120674427733,12.923832893371582,393443
2002-07-26,12.675298534333413,12.840988407582367,12.488897317349151,12.633875846862793,437573
2002-07-29,13.04810096830194,13.04810096830194,12.530320004819771,12.633875846862793,491284
2002-07-30,13.048097354716786,13.048097354716786,12.571739210629506,12.613160133361816,467602
2002-07-31,12.633875599105565,13.089523399079829,12.13680423583949,12.985966682434082,948395
2002-08-01,12.840985642381268,12.882408320931853,12.385337931591504,12.530317306518555,616734
2002-08-02,12.46818510322918,12.55103047821194,12.343917917388566,12.488897323608398,280372
2002-08-05,12.55102904414764,12.633874409664598,12.468183678630682,12.50960636138916,132945
2002-08-06,12.571740936050276,12.571740936050276,12.385338868472378,12.42676067352295,270422
2002-08-07,12.613161864467441,12.654584546151419,12.3439161867884,12.42676067352295,294814
2002-08-08,12.571740936050276,12.571740936050276,12.364627527630388,12.42676067352295,182438
2002-08-09,12.406050209314365,12.509606036890903,12.364627527630388,12.42676067352295,225134
2002-08-12,12.426759733508751,12.551027769160507,12.343915253040919,12.530317306518555,165155
2002-08-13,12.488895739650435,12.633874250849216,12.42676083966036,12.571741104125977,70647
2002-08-14,12.488895108066883,12.633873611933867,12.488895108066883,12.55102825164795,82282
2002-08-15,12.55102825164795,12.55102825164795,12.55102825164795,12.55102825164795,0
2002-08-16,12.633875599105565,13.151657429067276,12.530319759093329,12.985966682434082,329959
2002-08-19,12.923832978686809,13.462325252411137,12.758142239109963,13.358769416809082,380885
2002-08-20,13.586591186379287,13.91797173717472,13.29663419064579,13.710858345031738,662703
2002-08-21,13.980108505045227,13.980108505045227,13.255214119840439,13.772995948791504,277827
2002-08-22,13.876552710947973,13.876552710947973,13.317348158250267,13.379481315612793,189859
2002-08-23,13.462326604081792,13.669439172714293,13.296637601136064,13.483037948608398,171919
2002-08-26,13.586592501404702,13.669436989646947,13.3380564067777,13.400191307067871,96891
2002-08-27,13.400192419478701,13.483036914598244,13.275924361849144,13.296636581420898,130388
2002-08-28,13.379480364400841,13.379480364400841,13.027389283388638,13.234501838684082,178874
2002-08-29,13.255212348508918,13.296635029550934,12.861697755243153,12.88240909576416,132889
2002-08-30,12.840987459830574,13.628015833783754,12.778853433210555,13.462325096130371,475193
2002-09-02,13.669436927809677,14.02152972693848,13.52445841656653,13.648726463317871,460012
2002-09-03,13.56588228566507,13.56588228566507,13.296636580748306,13.441615104675293,210570
2002-09-04,13.255213120368586,13.917973425733638,13.255213120368586,13.628015518188477,394284
2002-09-05,13.793704497223942,13.876549858857937,13.628014650589337,13.66943645477295,249955
2002-09-06,13.876551063630366,13.876551063630366,13.37947972730368,13.462325096130371,233069
2002-09-09,13.29663562495223,13.628015334860214,13.151656234813236,13.19307804107666,447204
2002-09-10,13.19307804107666,13.19307804107666,13.19307804107666,13.19307804107666,0
2002-09-11,13.503746959885413,13.503746959885413,13.13094457608841,13.213789939880371,85711
2002-09-12,13.255213427330569,14.20793166230367,13.172368058503878,13.462325096130371,563086
2002-09-13,13.648727037850009,14.290776009858224,13.46232495987655,14.104373931884766,2817563
2002-09-16,14.166509153920423,14.642868277326112,13.441614797579874,14.187219619750977,1095474
2002-09-17,14.39433114035517,14.518599186269642,14.083662778835812,14.43575382232666,2655073
2002-09-18,14.45646674588674,14.601445263233165,14.145796615929855,14.207931518554688,432522
2002-09-19,13.917973138192513,14.49788894130195,12.69600750807618,13.006677627563477,7152614
2002-09-20,13.048097193429667,14.145793710665004,12.840984692628657,13.959392547607422,1271550
2002-09-23,14.021530212788486,14.042240677997915,13.462324859664239,13.524458885192871,173040
2002-09-24,13.462324502550388,13.462324502550388,12.840986893646571,12.903120040893555,1048120
2002-09-25,12.840988617898049,13.503748998382386,12.799565929748988,13.110235214233398,752213
2002-09-26,13.04810071242153,13.296636832371322,12.923833529080145,12.985966682434082,336088
2002-09-27,13.213790101411128,13.400191295588273,12.944542665795865,13.255212783813477,298476
2002-09-30,13.255210731571951,13.255210731571951,12.923830200292667,12.965252876281738,205277
2002-10-01,13.048099844116614,13.317346412844637,12.985965818263965,13.275923728942871,404042
2002-10-02,13.275923728942871,13.275923728942871,13.275923728942871,13.275923728942871,0
2002-10-03,13.33805639535133,13.33805639535133,12.944542665795865,13.255212783813477,274210
2002-10-04,13.338056878162067,13.338056878162067,13.151656553871026,13.275923728942871,239927
2002-10-07,13.234500723973516,13.29663562495223,13.048099527571097,13.19307804107666,300287
2002-10-08,13.275923248381229,15.305626796395494,12.965254883630461,13.255212783813477,625859
2002-10-09,13.338057680524171,13.420903053311335,13.068811972232897,13.089523315429688,181819
2002-10-10,13.048099433528357,13.13094479872497,12.965254944965169,13.006677627563477,96323
2002-10-11,13.193075840955059,13.193075840955059,12.903117985664846,12.965252876281738,121059
2002-10-14,13.213789667466902,13.213789667466902,12.840986414722144,12.88240909576416,84089
2002-10-15,12.88240909576416,12.88240909576416,12.88240909576416,12.88240909576416,0
2002-10-16,13.027385516245188,13.048096853448962,12.509603839417323,12.592449188232422,493002
2002-10-17,12.571739482295214,12.6338726210029,12.364626097825244,12.406048774719238,296721
2002-10-18,12.426761384479597,12.50960675258728,12.32320555097845,12.343916893005371,331175
2002-10-21,12.302493491086945,12.42676065936388,12.219648127813384,12.281782150268555,146979
2002-10-22,12.219647618126588,12.302492977944633,11.908979272075657,12.012535095214844,189950
2002-10-23,11.971113503542428,12.053958870891549,11.391198561998927,11.51546573638916,309574
2002-10-24,11.598311181173575,11.598311181173575,11.39119863805145,11.411909103393555,229266
2002-10-25,11.287641830261128,11.391198539240634,10.811282722222291,10.976972579956055,421009
2002-10-28,10.976972043538051,10.976972043538051,9.98283206908323,10.314210891723633,772620
2002-10-29,10.459189644508253,10.54203500263189,10.044964607156778,10.397055625915527,807582
2002-10-30,9.899986160951794,11.184084835689754,9.899986160951794,10.790570259094238,850942
2002-10-31,10.976973297565829,10.976973297565829,10.50061415838544,10.749150276184082,301904
2002-11-01,10.562748503857573,10.873417783767156,10.47990312877941,10.728438377380371,128283
2002-11-04,10.769859083152035,11.059816965936776,10.687013723318291,10.831993103027344,62681
2002-11-05,10.687014571095059,10.707726789329916,10.479902031714293,10.542036056518555,152069
2002-11-06,10.542036056518555,10.542036056518555,10.542036056518555,10.542036056518555,0
2002-11-07,10.52132623204817,10.64559342294206,10.37634769656637,10.417770385742188,149218
2002-11-08,10.397056254858786,10.397056254858786,10.252077746005671,10.314210891723633,158651
2002-11-11,10.355634529781044,10.355634529781044,10.065677485293165,10.169233322143555,678927
2002-11-12,10.189946501891653,10.231369194752917,10.107101992802766,10.127813339233398,81242
2002-11-13,10.355634529781044,10.355634529781044,10.107100170686715,10.169233322143555,166349
2002-11-14,10.459190149907002,10.459190149907002,9.858563904387823,9.879274368286133,399921
2002-11-15,9.941410470558361,10.044966309125538,9.48576180030889,9.52718448638916,1118961
2002-11-18,10.148520214100932,10.148520214100932,9.299358014497274,9.465047836303711,817245
2002-11-19,9.465047836303711,9.465047836303711,9.465047836303711,9.465047836303711,0
2002-11-20,9.713583007329994,9.77571701924488,9.423625161693788,9.465047836303711,674304
2002-11-21,9.444339524830287,9.568607588473771,9.175093806869816,9.216516494750977,697310
2002-11-22,9.030114627543023,9.506473796950393,9.030114627543023,9.299361228942871,485796
2002-11-25,9.340782966781234,9.734296718264122,9.32007162442598,9.589317321777344,875616
2002-11-26,9.734298043217123,10.086390034546854,9.71358669804281,9.962121963500977,990327
2002-11-27,10.024253916577855,10.044965257449578,9.817141384494027,9.920697212219238,490652
2002-11-28,10.044966540795379,10.107100571348798,9.962121166724152,10.003543853759766,308593
2002-11-29,10.044963978208859,10.459188989624359,9.630738090160065,10.334921836853027,1327261
2002-12-02,10.459190530016656,10.728437090080392,10.35563382359467,10.50061321258545,586172
2002-12-03,10.707727189508706,10.707727189508706,10.27278987625745,10.376346588134766,528863
2002-12-04,10.293502106613946,10.293502106613946,10.024255509139522,10.086389541625977,194617
2002-12-05,10.272790442857731,10.272790442857731,9.962121166724152,10.003543853759766,325432
2002-12-06,10.272791264482082,10.293502609656395,9.941411494960253,9.962121963500977,421954
2002-12-09,10.003544105193072,10.107100825384943,9.73429750932775,9.796431541442871,306480
2002-12-10,10.127807202116504,10.127807202116504,9.755004068905162,9.899983406066895,231620
2002-12-11,9.941411107208445,10.127812329873336,9.755009007910001,9.837854385375977,206955
2002-12-12,9.941407717684571,9.941407717684571,9.36149202641216,9.465047836303711,655730
2002-12-13,9.52718490059261,9.610030276354932,9.133671118988655,9.216516494750977,637123
2002-12-16,9.48576180030889,9.630740324956337,9.423627771188485,9.52718448638916,494939
2002-12-17,9.48576086364751,9.817141442934348,9.48576086364751,9.672162055969238,647098
2002-12-18,10.231365786301607,10.459189644508253,9.899986107073765,10.397055625915527,1805559
2002-12-19,10.397056979876202,10.852705632259864,10.355634295420101,10.624881744384766,1655431
2002-12-20,10.728438153501582,10.728438153501582,10.148523169956572,10.252079010009766,767909
